City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Khatanga,RU,71.9667,102.5,-0.45,94,100,15.9,light snow
202,Jiexiu,CN,37.0244,111.9125,32.97,30,78,1.66,broken clouds
203,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,90.91,41,100,5.79,overcast clouds
204,Caravelas,BR,-17.7125,-39.2481,80.44,66,92,9.31,overcast clouds
205,Kidal,ML,18.4411,1.4078,82.53,14,98,9.89,overcast clouds
206,Barranca De Upia,CO,4.5696,-72.9668,76.48,82,97,0.69,overcast clouds
207,Aklavik,CA,68.2191,-135.0107,-7.6,59,75,14.97,broken clouds
208,Grand Gaube,MU,-20.0064,57.6608,77.4,75,59,5.01,broken clouds
209,Mwinilunga,ZM,-11.7358,24.4293,62.08,96,84,4.85,light rain
210,Nanortalik,GL,60.1432,-45.2371,35.87,98,100,5.48,light rain
211,Bosaso,SO,11.2842,49.1816,77.29,71,44,7.52,scattered clouds
212,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.35,76,78,11.23,broken clouds
213,Barcelos,PT,41.5388,-8.6151,56.91,87,97,2.35,overcast clouds
214,Saint-Pierre,RE,-21.3393,55.4781,78.48,73,0,16.11,clear sky
215,Namibe,AO,-15.1961,12.1522,70.93,76,1,5.64,clear sky
216,Mahanoro,MG,-19.9,48.8,75.13,78,42,2.98,scattered clouds
217,Itoman,JP,26.1247,127.6694,66.22,59,87,19.57,overcast clouds
218,Hasaki,JP,35.7333,140.8333,41.22,78,60,8.52,broken clouds
219,Sitamau,IN,24.0167,75.35,62.33,42,0,7.31,clear sky
220,Vilhena,BR,-12.7406,-60.1458,82.62,65,40,14.97,scattered clouds
221,Barcelona,ES,41.3888,2.159,57.15,86,20,1.01,few clouds
222,Hithadhoo,MV,-0.6,73.0833,81.9,74,20,11.88,few clouds
223,Winnemucca,US,40.973,-117.7357,28.45,86,20,5.75,few clouds
224,Kirakira,SB,-10.4544,161.9205,78.78,86,99,4.92,overcast clouds
225,Hualmay,PE,-11.0964,-77.6139,71.91,70,12,10.18,few clouds
226,Kavaratti,IN,10.5669,72.642,81.59,70,67,3.98,broken clouds
227,Nome,US,64.5011,-165.4064,24.17,86,100,3.44,fog
228,Erzin,TR,36.9559,36.2,58.69,59,84,3.33,broken clouds
229,Yar-Sale,RU,66.8333,70.8333,3.52,96,98,6.53,overcast clouds
230,Puerto Quijarro,BO,-17.7833,-57.7667,93.83,40,86,6.17,overcast clouds
231,Mar Del Plata,AR,-38.0023,-57.5575,89.62,53,0,12.66,clear sky
232,Santa Cruz Del Sur,CU,20.7147,-77.9956,85.96,45,1,15.23,moderate rain
233,Lebu,CL,-37.6167,-73.65,66.07,65,5,8.97,clear sky
234,Cravo Norte,CO,6.3017,-70.2041,88.59,44,36,9.26,scattered clouds
235,Dikson,RU,73.5069,80.5464,0.43,97,74,8.63,broken clouds
236,Verkhoyansk,RU,67.5447,133.385,-37.12,100,98,0.69,overcast clouds
237,Port Augusta,AU,-32.5,137.7667,67.05,58,100,14.63,overcast clouds
238,Sinegorye,RU,62.0788,150.477,-34.47,83,28,2.93,scattered clouds
239,Norman Wells,CA,65.282,-126.8329,-20.16,69,75,4.61,broken clouds
240,Viedma,AR,-40.8135,-62.9967,83.66,19,0,10.78,clear sky
241,Lagoa,PT,39.05,-27.9833,59.04,77,79,23.78,broken clouds
242,Labuhan,ID,-6.8844,112.2051,79.36,80,100,3.24,overcast clouds
243,Isabela,PH,6.7085,121.9711,77.92,86,90,3.87,overcast clouds
244,Teguise,ES,29.0605,-13.564,68.22,83,40,11.5,scattered clouds
245,Baykit,RU,61.67,96.37,7.5,95,93,6.24,overcast clouds
246,Rumphi,MW,-11.0186,33.8575,71.08,58,59,1.97,broken clouds
247,Chokurdakh,RU,70.6333,147.9167,-17.3,97,97,4.43,overcast clouds
248,Athabasca,CA,54.7169,-113.2854,-32.39,88,29,6.53,scattered clouds
249,Margherita,IN,27.2833,95.6833,60.33,73,0,2.37,clear sky
250,Goulburn,AU,-34.75,149.7167,47.41,74,20,4.16,few clouds
251,Ussuriysk,RU,43.7986,131.9508,12.02,69,99,4.56,overcast clouds
252,Logansport,US,40.7545,-86.3567,47.73,87,100,5.75,overcast clouds
253,Sestri Levante,IT,44.2732,9.3968,52.99,87,6,1.99,clear sky
254,Sandwick,GB,60.0,-1.25,37.22,70,20,13.8,light rain
255,Berlevag,NO,70.8578,29.0864,35.6,87,75,18.41,broken clouds
256,Bridlington,GB,54.0831,-0.1919,44.02,83,70,8.01,broken clouds
257,Tautira,PF,-17.7333,-149.15,78.21,79,41,20.29,light rain
258,Port Lincoln,AU,-34.7333,135.8667,57.85,77,39,15.03,scattered clouds
259,Inhambane,MZ,-23.865,35.3833,80.58,88,40,7.0,scattered clouds
260,Vilyuysk,RU,63.7553,121.6247,-19.17,94,86,6.49,overcast clouds
261,Henties Bay,NA,-22.116,14.2845,59.29,86,0,10.94,clear sky
262,Qui Nhon,VN,13.7667,109.2333,76.12,88,68,16.35,broken clouds
263,Georgetown,MY,5.4112,100.3354,80.53,94,40,5.75,scattered clouds
264,Vanimo,PG,-2.6741,141.3028,77.18,87,100,3.53,heavy intensity rain
265,Ballina,AU,-28.8667,153.5667,66.02,98,77,7.31,broken clouds
266,Kangaatsiaq,GL,68.3065,-53.4641,30.24,86,98,22.91,overcast clouds
267,Ivrea,IT,45.4672,7.8762,46.06,83,14,4.7,few clouds
268,Jurado,CO,7.1053,-77.7641,80.85,76,55,5.26,light rain
269,Vostok,RU,46.4856,135.8833,6.28,96,100,4.88,light snow
270,Moss Point,US,30.4116,-88.5345,80.74,77,26,10.04,scattered clouds
271,Ambon,ID,-3.6954,128.1814,76.23,16,40,4.61,scattered clouds
272,Lavrentiya,RU,65.5833,-171.0,19.62,92,75,3.13,broken clouds
273,Komsomolskiy,UZ,40.4272,71.7189,34.52,80,75,4.61,mist
274,Esperance,AU,-33.8667,121.9,58.69,74,51,15.9,broken clouds
275,Sinnamary,GF,5.3833,-52.95,81.75,82,39,11.25,scattered clouds
276,Qarayeri,AZ,40.7886,46.3066,36.48,93,100,2.3,overcast clouds
277,Ayan,RU,56.45,138.1667,1.0,70,16,9.33,few clouds
278,Pisco,PE,-13.7,-76.2167,77.05,57,0,19.57,clear sky
279,Hamilton,US,39.1834,-84.5333,52.43,96,100,4.61,mist
280,Cherrapunji,IN,25.3,91.7,49.24,66,0,5.26,clear sky
281,Lensk,RU,60.7253,114.9278,-3.6,98,97,8.37,light snow
282,Oum Hadjer,TD,13.2954,19.6966,79.93,16,0,14.61,clear sky
283,Klaksvik,FO,62.2266,-6.589,36.52,64,100,24.79,overcast clouds
284,Katsuura,JP,35.1333,140.3,48.54,79,20,7.63,few clouds
285,Nuevitas,CU,21.5453,-77.2644,80.56,58,23,13.89,few clouds
286,Tumba,SE,59.1986,17.8332,27.28,93,0,4.61,clear sky
287,Gamba,GA,-2.65,10.0,75.4,89,100,5.91,overcast clouds
288,Turukhansk,RU,65.8167,87.9833,14.72,95,100,13.87,light snow
289,Tocopilla,CL,-22.092,-70.1979,71.87,65,58,9.82,broken clouds
290,Nenjiang,CN,49.1833,125.2167,-7.94,99,46,1.86,scattered clouds
291,Tonekabon,IR,36.8163,50.8738,48.15,77,99,2.84,overcast clouds
292,Minusinsk,RU,53.7103,91.6875,-16.58,69,16,1.19,few clouds
293,Yumen,CN,40.2833,97.2,13.41,88,44,6.35,scattered clouds
294,Mandera,KE,3.9366,41.867,91.45,29,46,8.08,scattered clouds
295,Boguchany,RU,58.3814,97.4531,7.38,90,100,11.45,overcast clouds
296,Kholmogory,RU,64.2229,41.656,18.32,93,100,8.99,light snow
297,Upernavik,GL,72.7868,-56.1549,27.25,82,100,7.49,overcast clouds
298,Kourou,GF,5.1552,-52.6478,78.85,74,46,9.48,scattered clouds
299,Wanning,CN,18.8003,110.3967,69.33,89,99,8.14,overcast clouds
300,Namatanai,PG,-3.6667,152.4333,78.71,83,97,5.17,light rain
301,Itarema,BR,-2.9248,-39.9167,85.96,57,9,19.55,clear sky
302,Marienburg,PL,54.0359,19.0266,40.84,94,100,5.14,overcast clouds
303,Lufilufi,WS,-13.8745,-171.5986,74.98,74,83,5.99,light rain
304,Luderitz,NA,-26.6481,15.1594,62.6,68,0,22.68,clear sky
305,Saint-Augustin,CA,51.226,-58.6502,30.85,83,100,5.82,overcast clouds
306,Dong Hoi,VN,17.4833,106.6,65.79,92,100,10.45,overcast clouds
307,Mackay,AU,-21.15,149.2,67.68,78,0,8.86,clear sky
308,Port Blair,IN,11.6667,92.75,80.64,83,75,8.05,mist
309,Sumbe,AO,-11.2061,13.8437,78.13,84,100,3.31,overcast clouds
310,Mangai,CD,-4.05,19.5333,71.42,96,78,0.94,moderate rain
311,Ambilobe,MG,-13.2,49.05,77.02,79,58,4.85,broken clouds
312,Cabo San Lucas,MX,22.8909,-109.9124,87.62,61,0,4.61,clear sky
313,Lazaro Cardenas,MX,17.9583,-102.2,85.14,60,36,4.43,scattered clouds
314,Brookhaven,US,31.5791,-90.4407,76.24,62,72,11.36,broken clouds
315,Los Chiles,CR,11.0333,-84.7167,82.49,66,93,4.99,overcast clouds
316,North Bend,US,43.4065,-124.2243,43.07,93,20,9.22,few clouds
317,Zhoucheng,CN,35.9122,116.3117,35.55,64,56,4.83,broken clouds
318,Buala,SB,-8.145,159.5921,79.09,82,79,4.05,broken clouds
